iter	Passed	Remaining
857	2730	451
858	2733	448
859	2736	445
860	2739	442
861	2742	439
862	2745	435
863	2748	432
864	2750	429
865	2753	426
866	2756	422
867	2759	419
868	2762	416
869	2765	413
870	2768	410
871	2771	406
872	2774	403
873	2776	400
874	2779	397
875	2782	393
876	2785	390
877	2789	387
878	2792	384
879	2795	381
880	2798	377
881	2800	374
882	2803	371
883	2806	368
884	2808	364
885	2811	361
886	2814	358
887	2818	355
888	2821	352
889	2824	349
890	2827	345
891	2830	342
892	2833	339
893	2836	336
894	2839	333
895	2842	329
896	2845	326
897	2848	323
898	2851	320
899	2854	317
900	2858	314
901	2861	310
902	2865	307
903	2868	304
904	2872	301
905	2875	298
906	2879	295
907	2882	292
908	2886	288
909	2890	285
910	2894	282
911	2897	279
912	2900	276
913	2903	273
914	2906	270
915	2910	266
916	2913	263
917	2916	260
918	2920	257
919	2923	254
920	2926	251
921	2929	247
922	2933	244
923	2936	241
924	2939	238
925	2942	235
926	2945	231
927	2948	228
928	2951	225
929	2954	222
930	2957	219
931	2960	216
932	2964	212
933	2967	209
934	2970	206
935	2973	203
936	2977	200
937	2980	197
938	2984	193
939	2989	190
940	2993	187
941	2997	184
942	3000	181
943	3003	178
944	3007	175
945	3010	171
946	3013	168
947	3017	165
948	3020	162
949	3023	159
950	3026	155
951	3029	152
952	3032	149
953	3035	146
954	3038	143
955	3041	139
956	3044	136
957	3047	133
958	3050	130
959	3053	127
960	3055	124
961	3058	120
962	3061	117
963	3064	114
964	3067	111
965	3070	108
966	3073	104
967	3076	101
968	3079	98
969	3082	95
970	3084	92
971	3087	88
972	3090	85
973	3092	82
974	3095	79
975	3098	76
976	3100	73
977	3103	69
978	3106	66
979	3109	63
980	3112	60
981	3116	57
982	3119	53
983	3122	50
984	3125	47
985	3128	44
986	3130	41
987	3133	38
988	3136	34
989	3139	31
990	3141	28
991	3144	25
992	3147	22
993	3150	19
994	3153	15
995	3155	12
996	3158	9
997	3161	6
998	3164	3
999	3167	0
